gen,best_J,mean_J,std_J,goals,cols,oobs,timeouts,best_cells,best_steps,best_dist,ep_time,stag
0,-253.59,50.38,125.65,0,2,3,15,7,200,1.988,387.58,0
1,-238.80,31.32,114.49,0,8,2,10,7,200,1.977,329.44,1
0,-194.48,40.58,103.08,0,5,0,15,6,200,1.489,411.96,0
0,-268.68,74.61,105.63,0,5,3,12,3,200,1.895,399.90,0
0,-287.49,57.58,116.46,0,14,3,3,9,200,2.414,309.19,0
0,-3.34,148.79,35.04,0,0,0,20,3,200,1.912,441.70,0
1,157.54,157.54,0.00,0,0,0,20,2,200,1.951,440.79,1
0,-221.00,-46.33,177.92,0,1,0,19,1,200,1.995,437.98,0
1,159.00,159.00,0.00,0,0,0,20,2,200,2.387,440.06,1
2,159.00,159.00,0.00,0,0,0,20,2,200,2.387,440.27,2
0,-279.00,28.95,141.80,0,3,2,15,3,200,2.328,571.53,0
1,-358.00,10.53,158.58,0,2,3,15,6,200,2.320,428.79,0
2,-351.00,-50.90,178.11,0,1,0,19,5,200,2.035,469.04,1
3,-322.10,-6.96,161.81,0,1,1,18,4,200,1.438,459.69,2
4,-304.60,-10.68,167.35,0,2,1,17,1,200,1.947,489.68,3
5,-321.05,11.27,117.55,0,4,1,15,1,200,1.929,516.06,4
6,-301.39,-48.92,177.58,0,1,2,17,1,200,1.959,481.44,5
7,-343.28,-65.30,201.44,0,1,3,16,2,200,1.735,473.51,6
8,-316.40,-30.92,175.76,0,0,0,20,4,200,1.576,483.15,7
9,-320.94,-14.59,144.22,0,2,0,18,2,200,1.756,455.41,8
10,-425.71,-61.89,169.57,0,1,1,18,8,200,2.055,446.24,0
11,-381.85,-4.86,154.47,0,2,2,16,6,200,2.002,419.73,1
12,-390.59,-52.13,187.38,0,0,1,19,6,200,1.984,477.48,2
13,-411.00,-96.99,170.47,0,0,0,20,7,200,2.055,483.16,3
14,-391.69,-7.74,149.95,0,2,1,17,5,200,1.624,444.21,4
15,-285.35,33.73,130.62,0,1,0,19,8,158,2.054,479.78,5
16,-411.35,2.74,151.19,0,1,2,17,7,200,2.003,433.29,6
17,-350.79,-42.32,174.66,0,0,1,19,5,200,1.882,463.92,7
18,-349.76,11.39,157.27,0,0,1,19,5,200,1.874,465.83,8
19,-443.73,-1.24,166.74,0,1,1,18,7,200,2.266,464.34,0
20,-458.00,-54.36,171.45,0,0,0,20,9,200,2.290,484.33,0
21,-479.00,-5.78,172.07,0,0,0,20,9,200,2.196,481.89,0
22,-487.40,-25.09,189.91,0,1,1,18,9,200,2.188,453.26,0
23,-496.00,-4.88,187.88,0,1,1,18,9,200,2.201,471.76,0
24,-477.00,-20.70,171.06,0,2,1,17,9,200,2.194,443.25,1
25,-485.37,-120.36,207.00,0,0,1,19,9,200,2.196,474.01,2
26,-496.12,-71.63,194.91,0,1,0,19,9,200,2.204,469.61,0
27,-482.00,-29.46,199.70,0,0,4,16,9,200,2.201,432.86,1
28,-495.00,-64.93,203.30,0,1,1,18,9,200,2.194,460.86,2
29,-478.00,-18.29,187.13,0,1,3,16,9,200,2.193,439.78,3
30,-486.00,-60.50,205.94,0,0,0,20,9,200,2.206,482.28,4
31,-483.00,-15.95,202.81,0,2,0,18,9,200,2.196,458.34,5
32,-486.74,-15.77,180.80,0,1,1,18,9,200,2.195,448.49,6
33,-478.39,-31.72,196.52,0,1,2,17,9,200,2.190,458.11,7
34,-489.00,-31.81,189.00,0,1,3,16,9,200,2.192,428.82,8
35,-486.30,-106.53,222.07,0,0,3,17,9,200,2.187,441.29,9
36,-486.00,-68.81,209.94,0,0,1,19,9,200,2.194,469.76,10
37,-481.36,-52.73,195.57,0,3,0,17,9,200,2.207,433.47,1
38,-479.00,-62.57,232.01,0,0,1,19,9,200,2.195,468.12,2
39,-494.00,-34.77,188.74,0,0,3,17,9,200,2.199,438.08,3
40,-484.00,-33.80,165.97,0,1,2,17,9,200,2.191,433.43,4
41,-484.00,-59.30,203.87,0,1,1,18,9,200,2.197,469.89,5
42,-489.00,-76.33,197.23,0,1,1,18,9,200,2.187,462.68,6
43,-485.00,-73.64,199.45,0,2,1,17,9,200,2.185,458.95,7
44,-484.00,-61.25,193.94,0,4,0,16,9,200,2.192,428.09,8
45,-484.00,-34.09,193.39,0,0,0,20,9,200,2.190,486.43,9
46,-488.36,-119.17,214.11,0,0,0,20,9,200,2.201,483.57,10
47,-484.00,-63.25,215.71,0,0,1,19,9,200,2.180,469.48,1
48,-487.41,-41.52,227.45,0,0,2,18,9,200,2.182,472.50,2
49,-497.35,-6.91,186.89,0,1,0,19,9,200,2.182,471.46,0
50,-474.00,-44.97,227.61,0,0,1,19,9,200,2.198,472.64,1
51,-490.00,-79.45,228.75,0,0,0,20,9,200,2.200,488.10,2
52,-482.00,-100.40,237.17,0,1,0,19,9,200,2.192,467.54,3
53,-484.00,-75.21,234.32,0,1,1,18,9,200,2.194,463.54,4
54,-484.00,-71.45,221.13,0,0,0,20,9,200,2.200,485.63,5
55,-488.00,-95.68,208.76,0,0,0,20,9,200,2.178,484.40,6
56,-493.00,-86.97,226.20,0,1,0,19,9,200,2.197,480.86,7
57,-481.40,-67.22,211.26,0,0,0,20,9,200,2.194,489.04,8
58,-492.00,-37.49,196.12,0,0,1,19,9,200,2.204,474.84,9
59,-496.00,-36.90,208.48,0,2,0,18,9,200,2.201,463.51,10
60,-486.00,-91.69,204.14,0,0,1,19,9,200,2.202,476.27,1
61,-484.13,-97.29,242.55,0,1,3,16,7,200,1.800,438.73,2
62,-451.00,-14.77,187.47,0,1,0,19,7,200,2.250,470.41,3
63,-484.00,-55.50,177.77,0,1,1,18,9,200,2.189,455.97,4
64,-484.34,-91.70,192.40,0,1,0,19,9,200,2.190,477.83,5
65,-485.00,-68.19,197.64,0,0,2,18,9,200,2.194,465.70,6
66,-484.31,-44.77,193.25,0,0,1,19,9,200,2.199,481.95,7
67,-488.30,-58.32,223.06,0,1,0,19,9,200,2.202,478.96,8
68,-474.00,-58.98,208.53,0,1,1,18,8,200,2.186,480.99,9
69,-489.00,-4.53,192.99,0,1,1,18,9,200,2.195,461.11,10
70,-489.00,-38.58,214.11,0,0,2,18,9,200,2.197,471.64,1
71,-485.00,-57.86,213.06,0,2,1,17,9,200,2.193,460.10,2
72,-491.00,-42.63,191.01,0,2,1,17,9,200,2.199,463.67,3
73,-474.59,-58.21,205.53,0,0,2,18,9,200,2.200,464.27,4
74,-487.00,-106.35,215.41,0,2,0,18,9,200,2.181,458.08,5
75,-479.00,-122.67,182.74,0,1,1,18,9,200,2.195,473.18,6
76,-499.00,-29.85,179.30,0,3,1,16,9,200,2.190,677.22,0
77,-525.02,-109.66,207.85,0,2,1,17,10,200,2.077,746.10,0
78,-469.43,-43.70,158.53,0,6,2,12,7,200,1.881,688.06,1
79,-503.85,-13.47,175.03,0,8,1,11,9,200,1.855,599.01,2
80,-499.80,-67.13,139.84,0,3,1,16,9,200,1.796,779.35,3
81,-512.67,-3.14,188.85,0,4,2,14,9,200,1.845,704.87,4
82,-509.17,-14.83,187.53,0,4,0,16,9,200,1.833,718.55,5
83,-490.22,-103.35,216.20,0,1,0,19,8,200,1.870,852.71,6
84,-483.61,-42.82,176.98,0,7,1,12,8,200,1.976,677.86,7
85,-508.42,-2.94,176.12,0,3,3,14,9,200,1.764,648.87,8
86,-510.76,-72.75,202.90,0,3,1,16,9,200,1.870,728.34,9
87,-477.66,-59.64,202.95,0,3,1,16,8,200,1.890,719.80,10
88,-501.46,-16.38,176.90,0,5,1,14,9,200,1.863,617.54,1
89,-488.15,-33.57,177.85,0,3,1,16,8,200,2.054,737.99,2
90,-519.46,-94.43,221.85,0,4,1,15,11,200,1.830,729.14,3
91,-482.94,-140.44,207.52,0,3,0,17,10,200,2.088,807.75,4
92,-486.90,-46.16,208.48,0,7,1,12,8,200,1.949,650.32,5
93,-483.70,-73.18,198.57,0,1,1,18,8,200,1.905,587.04,6
94,-476.00,-51.71,211.75,0,2,0,18,8,200,1.999,468.35,7
95,-480.00,-55.81,183.63,0,0,4,16,8,200,1.998,460.70,8
96,-475.00,-41.32,166.24,0,2,2,16,8,200,1.993,450.61,9
97,-492.00,-50.08,196.64,0,1,2,17,8,200,1.990,459.99,10
98,-468.34,-64.10,201.59,0,2,0,18,8,200,2.003,468.54,1
99,-468.00,-120.55,188.31,0,2,2,16,8,200,1.994,453.19,2
100,-480.00,-37.18,177.77,0,2,1,17,8,200,1.995,453.18,3
101,-479.33,-81.13,207.38,0,2,0,18,8,200,1.997,472.87,4
102,-475.00,-66.91,223.93,0,0,0,20,8,200,1.984,499.41,5
103,-470.44,-37.47,196.65,0,2,1,17,8,200,1.997,482.27,6
104,-478.78,-63.04,204.84,0,3,0,17,8,200,1.941,590.45,7
105,-496.10,-15.40,176.47,0,5,2,13,8,200,1.936,518.91,8
106,-487.47,-78.83,212.98,0,1,2,17,8,200,1.963,644.21,9
107,-460.60,-98.74,175.30,0,10,1,9,9,200,1.701,580.69,10
108,-501.42,-38.60,163.17,0,3,1,16,9,200,1.987,718.54,1
109,-417.02,-83.83,175.45,0,9,3,8,7,200,1.874,488.04,2
110,-471.00,-41.53,163.99,0,0,1,19,8,200,2.209,474.49,3
111,-418.00,-120.54,188.89,0,0,1,19,8,200,2.210,489.21,4
112,-303.28,6.73,128.62,0,2,1,17,5,200,1.458,490.46,5
113,-411.11,-62.55,197.29,0,1,0,19,8,200,2.267,534.35,6
114,-471.53,-122.23,185.76,0,3,2,15,8,200,2.093,478.98,7
115,-414.76,-97.41,197.66,0,1,1,18,8,200,2.254,505.95,8
116,-481.25,-77.13,185.83,0,2,1,17,8,200,2.114,507.70,9
117,-473.75,-72.96,161.94,0,1,1,18,8,200,2.237,489.02,10
118,-424.00,-17.79,207.12,0,1,2,17,7,200,2.179,450.06,1
119,-464.00,-105.81,218.63,0,1,0,19,8,200,2.283,463.38,2
0,-140.44,-24.63,58.88,0,2,0,18,0.613,0.607,1.387,4,200,415.85,0
1,-117.60,-34.01,58.01,0,2,0,18,0.511,0.511,1.489,3,200,429.20,1
2,-117.44,-43.86,63.21,0,2,0,18,0.511,0.511,1.489,4,200,427.58,2
3,-140.46,-40.08,70.04,0,3,0,17,0.612,0.609,1.388,3,200,397.59,0
4,-140.44,-35.50,67.76,0,3,0,17,0.611,0.609,1.389,3,200,429.27,1
5,-180.20,-61.29,68.16,0,2,0,18,0.784,0.783,1.216,6,200,433.88,0
6,-179.43,-81.70,54.33,0,0,0,20,0.787,0.767,1.213,8,200,467.63,1
7,-210.86,-71.26,67.89,0,1,0,19,0.917,0.917,1.083,6,200,448.58,0
8,-180.52,-73.74,60.95,0,1,0,19,0.785,0.785,1.215,6,200,445.65,1
9,-204.99,-93.27,52.73,0,0,0,20,0.891,0.891,1.109,9,200,468.18,2
10,-181.01,-71.94,64.94,0,1,0,19,0.787,0.787,1.213,6,200,447.63,3
